datetime,twitter,facebook,pageviews
2015-07-11T21:00:00+00:00,0,0,0
2015-07-11T22:00:00+00:00,761,2823,5452
2015-07-11T23:00:00+00:00,757,2196,1130
2015-07-12T00:00:00+00:00,986,4124,2119
2015-07-12T01:00:00+00:00,364,4,52829
2015-07-12T02:00:00+00:00,817,3205,35733
2015-07-12T03:00:00+00:00,677,1888,31193
2015-07-12T04:00:00+00:00,399,1753,2069
2015-07-12T05:00:00+00:00,102,129,3915
2015-07-12T06:00:00+00:00,332,95,4201
2015-07-12T07:00:00+00:00,825,1522,1933
2015-07-12T08:00:00+00:00,31,13,4303
2015-07-12T09:00:00+00:00,926,1770,3340
2015-07-12T10:00:00+00:00,697,1399,9463
2015-07-12T11:00:00+00:00,532,911,8093
2015-07-12T12:00:00+00:00,442,1012,4294
